Code,Exchange,Name
CS1809,DCE,玉米淀粉1809
CY1810,CZCE,棉纱1810
FG1809,CZCE,玻璃1809
JM1809,DCE,焦煤1809
NI1807,SHFE,镍1807
TA1809,CZCE,PTA1809
WH1809,CZCE,强麦1809
Y1809,DCE,豆油1809
CF1809,CZCE,棉花1809
AP1810,CZCE,苹果1810
J1809,DCE,焦炭1809
ZC1809,CZCE,动力煤1809
RB1810,SHFE,螺纹钢1810
SF1809,CZCE,硅铁1809
SN1809,SHFE,锡1809
OI1809,CZCE,菜籽油1809
JR1807,CZCE,粳稻谷1807
B1809,DCE,豆二1809
AG1812,SHFE,白银1812
TF1806,CFFEX,国债1806
RI1811,CZCE,早籼稻1811
SM1809,CZCE,锰硅1809
CU1807,SHFE,铜1807
I1809,DCE,铁矿石1809
AL1807,SHFE,铝1807
T1806,CFFEX,长债1806
AU1812,SHFE,黄金1812
L1809,DCE,聚乙烯1809
LR1903,CZCE,晚籼稻1903
C1809,DCE,玉米1809
FB1901,DCE,纤维板1901
HC1810,SHFE,热轧卷板1810
IC1805,CFFEX,中证1805
A1809,DCE,豆一1809
WR1904,SHFE,线材1904
RU1809,SHFE,天然橡胶1809
BU1812,SHFE,石油沥青1812
IF1805,CFFEX,沪深1805
ZN1807,SHFE,锌1807
PP1809,DCE,聚丙烯1809
SR1809,CZCE,白糖1809
MA1809,CZCE,甲醇1809
PB1806,SHFE,铅1806
PM1805,CZCE,普麦1805
RS1809,CZCE,油菜籽1809
M1809,DCE,豆粕1809
P1809,DCE,棕榈油1809
BB1809,DCE,胶合板1809
FU1905,SHFE,燃料油1905
IH1805,CFFEX,上证1805
V1809,DCE,聚氯乙烯1809
JD1809,DCE,鸡蛋1809
RM1809,CZCE,菜籽粕1809
