OP,Code,CP,HP,VOL,Price_LimitDown,Price_LimitUp,LP,Exchange,DateTime
10.320,000001,9.870,10.320,64790114,9.330,11.410,9.860,MARKET,2016-01-26
16.960,600000,16.660,17.140,38279766,15.330,18.730,16.400,MARKET,2016-01-26
9.930,000001,9.880,9.980,56903705,8.880,10.860,9.600,MARKET,2016-01-27
16.750,600000,16.680,16.980,44291307,14.990,18.330,16.510,MARKET,2016-01-27
9.820,000001,9.690,9.890,30254078,8.890,10.870,9.650,MARKET,2016-01-28
16.760,600000,16.580,16.820,38902180,15.010,18.350,15.880,MARKET,2016-01-28
9.740,000001,10.000,10.080,54443576,8.720,10.660,9.690,MARKET,2016-01-29
16.520,600000,16.900,17.050,47429000,14.920,18.240,16.410,MARKET,2016-01-29
9.980,000001,9.800,10.010,41773214,9.000,11.000,9.740,MARKET,2016-02-01
16.990,600000,16.500,17.000,29139596,15.210,18.590,16.410,MARKET,2016-02-01
9.800,000001,9.950,10.030,36910416,8.820,10.780,9.780,MARKET,2016-02-02
16.500,600000,16.760,16.940,25380981,14.850,18.150,16.460,MARKET,2016-02-02
9.850,000001,9.850,9.890,27457217,8.960,10.950,9.770,MARKET,2016-02-03
16.600,600000,16.610,16.660,27779183,15.080,18.440,16.450,MARKET,2016-02-03
9.890,000001,9.950,10.000,37309947,8.870,10.840,9.880,MARKET,2016-02-04
16.840,600000,17.300,17.320,47162860,14.950,18.270,16.630,MARKET,2016-02-04
9.960,000001,9.920,9.970,27089334,8.960,10.950,9.910,MARKET,2016-02-05
17.240,600000,18.380,18.390,78413454,15.570,19.030,17.150,MARKET,2016-02-05
9.660,000001,9.790,9.850,27849946,8.930,10.910,9.650,MARKET,2016-02-15
17.980,600000,18.450,18.480,67296317,16.540,20.220,17.800,MARKET,2016-02-15
18.380,600000,18.380,18.380,0,18.380,18.380,18.380,MARKET,2016-02-08
18.380,600000,18.380,18.380,0,18.380,18.380,18.380,MARKET,2016-02-09
18.380,600000,18.380,18.380,0,18.380,18.380,18.380,MARKET,2016-02-10
18.380,600000,18.380,18.380,0,18.380,18.380,18.380,MARKET,2016-02-11
18.380,600000,18.380,18.380,0,18.380,18.380,18.380,MARKET,2016-02-12
9.920,000001,9.920,9.920,0,9.920,9.920,9.920,MARKET,2016-02-08
9.920,000001,9.920,9.920,0,9.920,9.920,9.920,MARKET,2016-02-09
9.920,000001,9.920,9.920,0,9.920,9.920,9.920,MARKET,2016-02-10
9.920,000001,9.920,9.920,0,9.920,9.920,9.920,MARKET,2016-02-11
9.920,000001,9.920,9.920,0,9.920,9.920,9.920,MARKET,2016-02-12
9.840,000001,10.010,10.030,42838638,8.810,10.770,9.830,MARKET,2016-02-16
18.450,600000,18.450,18.450,0,18.450,18.450,18.450,MARKET,2016-02-16
11.270,000001,11.400,11.570,66326995,10.200,12.460,11.150,MARKET,2016-01-05
17.510,600000,17.960,18.060,58054793,16.020,19.580,17.400,MARKET,2016-01-05
11.420,000001,11.530,11.560,51570644,10.260,12.540,11.390,MARKET,2016-01-06
17.900,600000,18.100,18.140,46772653,16.160,19.760,17.690,MARKET,2016-01-06
11.410,000001,10.940,11.410,17476110,10.380,12.680,10.910,MARKET,2016-01-07
17.800,600000,17.510,17.900,11350479,16.290,19.910,17.400,MARKET,2016-01-07
11.210,000001,11.120,11.290,74752758,9.850,12.030,10.900,MARKET,2016-01-08
17.740,600000,17.490,17.880,71918296,15.760,19.260,16.910,MARKET,2016-01-08
11.000,000001,10.760,11.080,73201399,10.010,12.230,10.680,MARKET,2016-01-11
17.210,600000,17.050,17.450,90177135,15.740,19.240,16.960,MARKET,2016-01-11
10.830,000001,10.810,10.910,56164230,9.680,11.840,10.640,MARKET,2016-01-12
17.170,600000,17.450,17.520,55374454,15.350,18.760,17.080,MARKET,2016-01-12
10.890,000001,10.710,10.940,39170948,9.730,11.890,10.700,MARKET,2016-01-13
17.570,600000,17.390,17.900,47869312,15.710,19.200,17.350,MARKET,2016-01-13
10.590,000001,10.770,10.800,66631454,9.640,11.780,10.480,MARKET,2016-01-14
17.000,600000,17.920,17.990,54838833,15.650,19.130,16.890,MARKET,2016-01-14
10.660,000001,10.460,10.800,44820214,9.690,11.850,10.420,MARKET,2016-01-15
17.800,600000,17.580,18.150,46723139,16.130,19.710,17.520,MARKET,2016-01-15
10.340,000001,10.410,10.560,42104088,9.410,11.510,10.300,MARKET,2016-01-18
17.430,600000,17.680,17.990,32729006,15.820,19.340,17.320,MARKET,2016-01-18
10.450,000001,10.710,10.780,50110908,9.370,11.450,10.410,MARKET,2016-01-19
17.780,600000,17.770,17.880,29807159,15.910,19.450,17.500,MARKET,2016-01-19
10.700,000001,10.540,10.800,60375250,9.640,11.780,10.440,MARKET,2016-01-20
17.610,600000,17.250,17.700,35968636,15.990,19.550,17.080,MARKET,2016-01-20
10.480,000001,10.320,10.750,60614511,9.490,11.590,10.320,MARKET,2016-01-21
17.220,600000,16.580,17.460,34197115,15.530,18.980,16.500,MARKET,2016-01-21
10.400,000001,10.400,10.450,46675214,9.290,11.350,10.220,MARKET,2016-01-22
16.840,600000,17.020,17.110,42007318,14.920,18.240,16.490,MARKET,2016-01-22
10.400,000001,10.370,10.440,37643172,9.360,11.440,10.330,MARKET,2016-01-25
17.000,600000,17.030,17.170,23558971,15.320,18.720,16.720,MARKET,2016-01-25
10.030,000001,10.150,10.220,58516706,9.010,11.010,9.990,MARKET,2016-02-17
18.450,600000,18.450,18.450,0,18.450,18.450,18.450,MARKET,2016-02-17
10.180,000001,10.090,10.220,40617824,9.140,11.170,10.090,MARKET,2016-02-18
18.450,600000,18.450,18.450,0,18.450,18.450,18.450,MARKET,2016-02-18
10.090,000001,10.040,10.140,31889825,9.080,11.100,9.990,MARKET,2016-02-19
18.450,600000,18.450,18.450,0,18.450,18.450,18.450,MARKET,2016-02-19
